"group","power_true","pe","n_cases"
"m_5000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0.03_b10_0.038_r3_0.04",1,79.1547788711786,55.745
"m_4000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0.03_b10_0.038_r3_0.04",1,79.0804442213908,44.741
"m_3000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0.03_b10_0.038_r3_0.04",0.992,79.1106796354727,33.518
"m_5000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0.03_b10_0.038_r3_0.04",0.987,87.8060251481589,36.149
"m_4000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0.03_b10_0.038_r3_0.04",0.967,87.6995493949455,29.167
"m_3000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0.03_b10_0.038_r3_0.04",0.927,87.780101236128,21.733
"m_5000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0.025_b10_0.03_r3_0.04",0.999,74.5962692216598,67.847
"m_4000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0.025_b10_0.03_r3_0.04",0.998,74.4464330033566,54.582
"m_3000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0.025_b10_0.03_r3_0.04",0.995,74.5195943026253,40.832
"m_5000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0.025_b10_0.03_r3_0.04",0.973,82.8217226766508,50.854
"m_4000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0.025_b10_0.03_r3_0.04",0.926,82.7370364744879,40.877
"m_3000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0.025_b10_0.03_r3_0.04",0.859,82.8325128985572,30.488
"m_5000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0.02_b10_0.025_r3_0.04",0.998,69.3075384550857,81.861
"m_4000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0.02_b10_0.025_r3_0.04",0.993,69.2691534790403,65.545
"m_3000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0.02_b10_0.025_r3_0.04",0.965,69.4162785498067,48.94
"m_5000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0.02_b10_0.025_r3_0.04",0.927,77.149154591415,67.536
"m_4000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0.02_b10_0.025_r3_0.04",0.884,77.0911989980521,54.156
"m_3000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0.02_b10_0.025_r3_0.04",0.82,77.0166684166984,40.747
"m_5000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0.01_b10_0.012_r3_0.04",0.827,48.0896043507563,137.624
"m_4000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0.01_b10_0.012_r3_0.04",0.765,47.9666796266589,110.323
"m_3000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0.01_b10_0.012_r3_0.04",0.661,47.823905900166,82.992
"m_5000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0.01_b10_0.012_r3_0.04",0.6,53.2944671705361,137.102
"m_4000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0.01_b10_0.012_r3_0.04",0.497,53.4626980115139,109.265
"m_3000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0.01_b10_0.012_r3_0.04",0.446,53.5147690156367,81.867
"m_5000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0_b10_0_r3_0.04",0.019,1.85655775687149,256.838
"m_4000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0_b10_0_r3_0.04",0.027,1.72203093608778,205.689
"m_3000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0_b10_0_r3_0.04",0.015,1.53637156819265,154.587
"m_5000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0_b10_0_r3_0.04",0.033,1.63401187348973,284.397
"m_4000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0_b10_0_r3_0.04",0.035,1.65183241807962,227.442
"m_3000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0_b10_0_r3_0.04",0.043,1.81540163060653,170.294
